1927/1928  1        Actor|Richard Barthelmess|The Noose
                    Directing|Great Expectations|David Lean
             Winner Documentary (Feature)|Design for Death|Sid Rogell, Executive Producer; Theron Warth and Richard O. Fleischer, Producers
                    Documentary (Feature)|Journey into Medicine|United States Department of State Office of Information and Educational Exchange
                    Documentary (Feature)|The World Is Rich|Paul Rotha, Producer
             Winner Documentary (Short Subject)|First Steps|United Nations Division of Films and Visual Information
                    Documentary (Short Subject)|Passport to Nowhere|Frederic Ullman, Jr., Producer
                    Documentary (Short Subject)|School in the Mailbox|Australian News & Information Bureau
                    Film Editing|The Bishop's Wife|Monica Collingwood
             Winner Film Editing|Body and Soul|Francis Lyon, Robert Parrish
                    Film Editing|Gentleman's Agreement|Harmon Jones
                    Film Editing|Green Dolphin Street|George White
                    Film Editing|Odd Man Out|Fergus McDonell
                    Music (Music Score of a Dramatic or Comedy Picture)|The Bishop's Wife|Hugo Friedhofer
                    Music (Music Score of a Dramatic or Comedy Picture)|Captain from Castile|Alfred Newman
             Winner Music (Music Score of a Dramatic or Comedy Picture)|A Double Life|Dr. Miklos Rozsa
                    Music (Music Score of a Dramatic or Comedy Picture)|Forever Amber|David Raksin
                    Music (Music Score of a Dramatic or Comedy Picture)|Life with Father|Max Steiner
                    Music (Scoring of a Musical Picture)|Fiesta|Johnny Green
             Winner Music (Scoring of a Musical Picture)|Mother Wore Tights|Alfred Newman
                    Music (Scoring of a Musical Picture)|My Wild Irish Rose|Ray Heindorf, Max Steiner
                    Music (Scoring of a Musical Picture)|Road to Rio|Robert Emmett Dolan
                    Music (Scoring of a Musical Picture)|Song of the South|Daniele Amfitheatrof, Paul J. Smith, Charles Wolcott
                    Music (Song)|"""A Gal In Calico"" from The Time, the Place and the Girl"|Music by Arthur Schwartz; Lyrics by Leo Robin
                    Music (Song)|"""I Wish I Didn't Love You So"" from The Perils of Pauline"|Music and Lyrics by Frank Loesser
                    Music (Song)|"""Pass That Peace Pipe"" from Good News"|Music and Lyrics by Ralph Blane, Roger Edens and Hugh Martin
                    Music (Song)|"""You Do"" from Mother Wore Tights"|Music by Josef Myrow; Lyrics by Mack Gordon
             Winner Music (Song)|"""Zip-A-Dee-Doo-Dah"" from Song of the South"|Music by Allie Wrubel; Lyrics by Ray Gilbert
                    Best Motion Picture|The Bishop's Wife|Samuel Goldwyn Productions
                    Best Motion Picture|Crossfire|RKO Radio
             Winner Best Motion Picture|Gentleman's Agreement|20th Century-Fox
                    Best Motion Picture|Great Expectations|J. Arthur Rank-Cineguild
                    Best Motion Picture|Miracle on 34th Street|20th Century-Fox
                    Short Subject (Cartoon)|Chip An' Dale|Walt Disney, Producer
                    Short Subject (Cartoon)|Dr. Jekyll and Mr. Mouse|Frederick Quimby, Producer
                    Short Subject (Cartoon)|Pluto's Blue Note|Walt Disney, Producer
                    Short Subject (Cartoon)|Tubby the Tuba|George Pal, Producer
             Winner Short Subject (Cartoon)|Tweetie Pie|Edward Selzer, Producer
                    Short Subject (One Reel)|Brooklyn, U.S.A.|Thomas Mead, Producer
             Winner Short Subject (One Reel)|Good-bye Miss Turlock|Herbert Moulton, Producer
                    Short Subject (One Reel)|Moon Rockets|Jerry Fairbanks, Producer
                    Short Subject (One Reel)|Now You See It|Pete Smith, Producer
                    Short Subject (One Reel)|So You Want to Be in Pictures|Gordon Hollingshead, Producer
                    Short Subject (Two Reel)|Champagne for Two|Harry Grey, Producer
             Winner Short Subject (Two Reel)|Climbing the Matterhorn|Irving Allen, Producer
                    Short Subject (Two Reel)|Fight of the Wild Stallions|Thomas Mead, Producer
                    Short Subject (Two Reel)|Give Us the Earth|Herbert Morgan, Producer
                    Short Subject (Two Reel)|A Voice Is Born: The Story of Niklos Gafni|Ben Blake, Producer
             Winner Sound Recording|The Bishop's Wife|Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director
                    Sound Recording|Green Dolphin Street|Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director
                    Sound Recording|T-Men|Sound Service, Inc., Jack R. Whitney, Sound Director
             Winner Special Effects|Green Dolphin Street|Special Visual Effects by A. Arnold Gillespie, Warren Newcombe; Special Audible Effects by Douglas Shearer, Michael Steinore
                    Special Effects|Unconquered|Special Visual Effects by Farciot Edouart, Devereux Jennings, Gordon Jennings, Wallace Kelley, Paul Lerpae; Special Audible Effects by George Dutton
                    Writing (Motion Picture Story)|A Cage of Nightingales|Georges Chaperot, Rene Wheeler
                    Writing (Motion Picture Story)|It Happened on Fifth Avenue|Herbert Clyde Lewis, Frederick Stephani
                    Writing (Motion Picture Story)|Kiss of Death|Eleazar Lipsky
             Winner Writing (Motion Picture Story)|Miracle on 34th Street|Valentine Davies
                    Writing (Motion Picture Story)|Smash-Up--The Story of a Woman|Dorothy Parker, Frank Cavett
             Winner Writing (Original Screenplay)|The Bachelor and the Bobby-Soxer|Sidney Sheldon
                    Writing (Original Screenplay)|Body and Soul|Abraham Polonsky
                    Writing (Original Screenplay)|A Double Life|Ruth Gordon, Garson Kanin
                    Writing (Original Screenplay)|Monsieur Verdoux|Charles Chaplin
                    Writing (Original Screenplay)|Shoe-Shine|Sergio Amidei, Adolfo Franci, C. G. Viola, Cesare Zavattini
                    Writing (Screenplay)|Boomerang!|Richard Murphy
                    Writing (Screenplay)|Crossfire|John Paxton
                    Writing (Screenplay)|Gentleman's Agreement|Moss Hart
                    Writing (Screenplay)|Great Expectations|David Lean, Anthony Havelock-Allan, Ronald Neame
             Winner Writing (Screenplay)|Miracle on 34th Street|George Seaton
             Winner Special Award|James Baskett|Song of the South
             Winner Special Award|Bill and Coo|
             Winner Special Award|Shoe-Shine|
             Winner Special Award|Colonel William N. Selig, Albert E. Smith, Thomas Armat and George K. Spoor|
1948      21        Actor|Lew Ayres|Johnny Belinda
                    Actor|Montgomery Clift|The Search
                    Actor|Dan Dailey|When My Baby Smiles at Me
             Winner Actor|Laurence Olivier|Hamlet
                    Actor|Clifton Webb|Sitting Pretty
                    Actor in a Supporting Role|Charles Bickford|Johnny Belinda
                    Actor in a Supporting Role|José Ferrer|Joan of Arc
                    Actor in a Supporting Role|Oscar Homolka|I Remember Mama
             Winner Actor in a Supporting Role|Walter Huston|The Treasure of the Sierra Madre
                    Actor in a Supporting Role|Cecil Kellaway|The Luck of the Irish
                    Actress|Ingrid Bergman|Joan of Arc
                    Actress|Olivia de Havilland|The Snake Pit
                    Actress|Irene Dunne|I Remember Mama
                    Actress|Barbara Stanwyck|Sorry, Wrong Number
             Winner Actress|Jane Wyman|Johnny Belinda
                    Actress in a Supporting Role|Barbara Bel Geddes|I Remember Mama
                    Actress in a Supporting Role|Ellen Corby|I Remember Mama
                    Actress in a Supporting Role|Agnes Moorehead|Johnny Belinda
                    Actress in a Supporting Role|Jean Simmons|Hamlet
             Winner Actress in a Supporting Role|Claire Trevor|Key Largo
             Winner Art Direction (Black and White)|Hamlet|Art Direction: Roger K. Furse; Set Decoration: Carmen Dillon
                    Art Direction (Black and White)|Johnny Belinda|Art Direction: Robert Haas; Set Decoration: William Wallace
                    Art Direction (Color)|Joan of Arc|Art Direction: Richard Day; Set Decoration: Edwin Casey Roberts, Joseph Kish
             Winner Art Direction (Color)|The Red Shoes|Art Direction: Hein Heckroth; Set Decoration: Arthur Lawson
                    Cinematography (Black and White)|A Foreign Affair|Charles B. Lang, Jr.
                    Cinematography (Black and White)|I Remember Mama|Nicholas Musuraca
                    Cinematography (Black and White)|Johnny Belinda|Ted McCord
             Winner Cinematography (Black and White)|The Naked City|William Daniels
                    Cinematography (Black and White)|Portrait of Jennie|Joseph August
                    Cinematography (Color)|Green Grass of Wyoming|Charles G. Clarke
             Winner Cinematography (Color)|Joan of Arc|Joseph Valentine, William V. Skall, Winton Hoch
                    Cinematography (Color)|The Loves of Carmen|William Snyder
                    Cinematography (Color)|The Three Musketeers|Robert Planck
                    Costume Design (Black and White)|B. F.'s Daughter|Irene
             Winner Costume Design (Black and White)|Hamlet|Roger K. Furse
                    Costume Design (Color)|The Emperor Waltz|Edith Head, Gile Steele
             Winner Costume Design (Color)|Joan of Arc|Dorothy Jeakins, Karinska
                    Directing|Hamlet|Laurence Olivier
                    Directing|Johnny Belinda|Jean Negulesco
                    Directing|The Search|Fred Zinnemann
                    Directing|The Snake Pit|Anatole Litvak
             Winner Directing|The Treasure of the Sierra Madre|John Huston
                    Documentary (Feature)|The Quiet One|Janice Loeb, Producer
             Winner Documentary (Feature)|The Secret Land|Orville O. Dull, Producer
                    Documentary (Short Subject)|Heart to Heart|Herbert Morgan, Producer
                    Documentary (Short Subject)|Operation Vittles|United States Army Air Force
             Winner Documentary (Short Subject)|Toward Independence|United States Army
                    Film Editing|Joan of Arc|Frank Sullivan
                    Film Editing|Johnny Belinda|David Weisbart
             Winner Film Editing|The Naked City|Paul Weatherwax
                    Film Editing|Red River|Christian Nyby
                    Film Editing|The Red Shoes|Reginald Mills
                    Music (Music Score of a Dramatic or Comedy Picture)|Hamlet|William Walton
                    Music (Music Score of a Dramatic or Comedy Picture)|Joan of Arc|Hugo Friedhofer
                    Music (Music Score of a Dramatic or Comedy Picture)|Johnny Belinda|Max Steiner
